会社名,路線名,色(#RGB),おまけ
東京メトロ,銀座線,#f59c00,
東京メトロ,丸ノ内線,#e50012,
東京メトロ,日比谷線,#c9c9cb,
東京メトロ,東西線,#0dade7,
東京メトロ,千代田線,#009c53,
東京メトロ,有楽町線,#eab600,
東京メトロ,半蔵門線,#931b87,
東京メトロ,南北線,#01ae9b,
東京メトロ,副都心線,#c54c03,
都営地下鉄,浅草線,#ec6d66,
都営地下鉄,三田線,#006ab6,
都営地下鉄,新宿線,#7cb528,
都営地下鉄,大江戸線,#db096e,
JR,山手線,#88898a,
JR,中央・総武線,#88898a,
東京メトロ,豊住線,#eab600,toyosumi
東京臨海高速鉄道,臨海地下鉄,#00a7db,rinkai
東京メトロ,南北線品川支線,#01ae9b,shinagawa
東京臨海高速鉄道,りんかい線,#e5006a,urban_lines_extra
ゆりかもめ,ゆりかもめ,#00a0de,urban_lines_extra
東京都交通局,日暮里・舎人ライナー,#7fb92f,urban_lines_extra
西武鉄道,西武池袋線(練馬支線),#f8b500,private_bypass
西武鉄道,西武新宿線(中井-新宿),#f8b500,private_bypass
京成電鉄,京成本線(町屋-上野),#0075c2,private_bypass
首都圏新都市鉄道,つくばエクスプレス(北千住-秋葉原),#e4007f,private_bypass
東京都交通局,都電荒川線,#f299b4,urban_lines_extra
JR,京葉線,#c9c060,
京急電鉄,京急本線(泉岳寺-品川),#e60012,private_bypass
東急電鉄,東急東横線(中目黒-渋谷),#ee7b1a,private_bypass
東武鉄道,東武伊勢崎線(北千住支線),#0068b7,private_bypass
小田急電鉄,小田急小田原線(新宿-代々木上原),#1e50a2,private_bypass
