駅名,緯度,経度
一之江,35.685940,139.882890
三ノ輪,35.729285,139.791165
三田,35.647875,139.749480
三越前,35.684930,139.773080
三鷹,35.702695,139.560640
上野,35.711835,139.775625
上野広小路,35.707770,139.773000
上野御徒町,35.707960,139.773065
下総中山,35.714285,139.943070
両国,35.695755,139.793350
中井,35.713865,139.686310
中延,35.605175,139.713590
中目黒,35.644105,139.698835
中野,35.705555,139.666085
中野坂上,35.697085,139.682205
中野富士見町,35.690820,139.668155
中野新橋,35.691715,139.673980
乃木坂,35.666615,139.726210
九段下,35.695510,139.751115
亀戸,35.697340,139.826610
二重橋前,35.680505,139.761780
五反田,35.627110,139.724185
京橋,35.676700,139.770115
人形町,35.686350,139.782170
代々木,35.683795,139.702210
代々木上原,35.669015,139.679885
代々木公園,35.669100,139.689790
仲御徒町,35.706655,139.776190
住吉,35.688705,139.815670
信濃町,35.679965,139.721100
光が丘,35.758470,139.629240
入谷,35.720570,139.784460
八丁堀,35.675365,139.777340
六本木,35.664065,139.731275
六本木一丁目,35.665075,139.738900
内幸町,35.669175,139.755340
勝どき,35.658945,139.777155
北千住,35.748845,139.804640
北参道,35.678485,139.705435
北綾瀬,35.776890,139.832095
千川,35.738175,139.689400
千石,35.727965,139.744745
千石(江東),35.679000,139.815500
千駄ヶ谷,35.681195,139.711530
千駄木,35.725745,139.763305
半蔵門,35.685380,139.741695
南千住,35.732310,139.798780
南砂町,35.668415,139.831695
南行徳,35.672730,139.902275
南阿佐ヶ谷,35.699455,139.635575
原宿,35.671310,139.702730
原木中山,35.703300,139.941915
吉祥寺,35.702290,139.580310
和光市,35.788350,139.612865
品川,35.629640,139.740130
四ツ谷,35.685650,139.730540
四谷三丁目,35.687835,139.719325
国会議事堂前,35.675005,139.745410
国立競技場,35.679855,139.714875
地下鉄成増,35.776740,139.631170
地下鉄赤塚,35.769980,139.644000
外苑前,35.670375,139.717825
大久保,35.700635,139.697445
大塚,35.731785,139.727940
大島,35.689765,139.834360
大崎,35.619945,139.728245
大手町,35.684695,139.766030
大門,35.656680,139.755705
妙典,35.691010,139.924290
宝町,35.675670,139.772115
小伝馬町,35.690425,139.778760
小岩,35.733330,139.881850
小川町,35.695215,139.766860
小竹向原,35.743395,139.679520
岩本町,35.695575,139.775185
巣鴨,35.733720,139.740350
市ヶ谷,35.691455,139.737385
市川,35.728870,139.908170
平井,35.706450,139.842385
平和台,35.757555,139.654300
広尾,35.651500,139.722210
後楽園,35.707310,139.750860
御徒町,35.707195,139.774715
御成門,35.660985,139.751485
御茶ノ水,35.699605,139.765030
志村三丁目,35.777465,139.685860
志村坂上,35.776340,139.694730
志茂,35.778025,139.732500
恵比寿,35.646680,139.710125
戸越,35.614425,139.716375
押上,35.708470,139.813750
新中野,35.697475,139.669510
新大久保,35.700930,139.700255
新大塚,35.726130,139.729355
新宿,35.689210,139.701220
新宿三丁目,35.690840,139.706535
新宿御苑前,35.688525,139.710915
新宿西口,35.693160,139.699160
新富町,35.670530,139.773595
新小岩,35.716785,139.857650
新御徒町,35.707005,139.781910
新御茶ノ水,35.696925,139.765450
新日本橋,35.689040,139.774295
新木場,35.645830,139.826600
新板橋,35.748840,139.719365
新橋,35.667375,139.758510
新江古田,35.732490,139.670565
新築地,35.666000,139.771500
新銀座,35.672500,139.768000
新高円寺,35.697860,139.648510
新高島平,35.790220,139.654330
方南町,35.683515,139.657935
日暮里,35.727330,139.771015
日本橋,35.681880,139.773335
日比谷,35.676620,139.760145
早稲田,35.705680,139.722190
明治神宮前,35.668205,139.705240
春日,35.708495,139.752170
晴海,35.654000,139.783000
曙橋,35.692330,139.722580
月島,35.664710,139.784405
有明,35.630000,139.794500
有楽町,35.675040,139.763260
木場,35.669350,139.807115
末広町,35.702780,139.771765
本八幡,35.720850,139.927405
本所吾妻橋,35.708595,139.804560
本蓮沼,35.768985,139.702110
本郷三丁目,35.706705,139.760135
本駒込,35.724365,139.753815
東中野,35.706250,139.685080
東京,35.681195,139.767440
東大前,35.717985,139.757820
東大島,35.689790,139.847265
東新宿,35.697895,139.707690
東日本橋,35.691780,139.784800
東池袋,35.725950,139.718865
東船橋,35.699830,140.004070
東銀座,35.669655,139.767125
東陽町,35.669590,139.817680
東高円寺,35.697965,139.658295
板橋区役所前,35.751305,139.710055
板橋本町,35.761100,139.705605
枝川,35.660500,139.803500
根津,35.717325,139.765750
桜田門,35.677465,139.751885
森下,35.688005,139.798200
水天宮前,35.682995,139.785165
水道橋,35.702000,139.753745
氷川台,35.749620,139.665470
永田町,35.678010,139.741815
汐留,35.664915,139.761270
江戸川橋,35.709295,139.734130
池袋,35.727660,139.710830
泉岳寺,35.638130,139.739730
津田沼,35.691370,140.020220
浅草,35.708990,139.796595
浅草橋,35.697390,139.784490
浜松町,35.655410,139.757125
浜町,35.688590,139.788125
浦安,35.665905,139.893235
淡路町,35.694870,139.767455
清澄白河,35.682945,139.798665
渋谷,35.659095,139.702674
湯島,35.706805,139.769980
溜池山王,35.673090,139.741295
牛込柳町,35.699460,139.725190
牛込神楽坂,35.700915,139.736040
王子,35.752325,139.738210
王子神谷,35.765295,139.735650
瑞江,35.693390,139.897810
田原町,35.709910,139.790305
田町,35.645740,139.747605
田端,35.737475,139.761575
町屋,35.742070,139.780045
白山,35.721335,139.752210
白金台,35.637770,139.725860
白金高輪,35.643145,139.734285
目白,35.720390,139.706280
目黒,35.632940,139.715900
神保町,35.694930,139.758430
神楽坂,35.703865,139.734520
神田,35.691770,139.770875
神谷町,35.662625,139.744725
秋葉原,35.698075,139.773240
稲荷町,35.711385,139.782210
竹橋,35.690440,139.757670
築地,35.667925,139.772475
築地市場,35.664960,139.766750
篠崎,35.706120,139.903885
綾瀬,35.762165,139.824935
練馬,35.737315,139.654570
練馬春日町,35.751360,139.640760
船堀,35.683785,139.863855
船橋,35.701735,139.984675
芝公園,35.653455,139.749720
若松河田,35.699165,139.718185
茅場町,35.679075,139.779625
茗荷谷,35.717200,139.736895
荻窪,35.704430,139.620245
菊川,35.688410,139.806125
落合,35.710635,139.685965
落合南長崎,35.723385,139.683510
葛西,35.663620,139.872530
蓮根,35.784055,139.679060
蔵前,35.703145,139.790855
虎ノ門,35.670160,139.750120
虎ノ門ヒルズ,35.667444,139.747778
行徳,35.682620,139.914185
表参道,35.665145,139.712380
西ヶ原,35.745945,139.742260
西台,35.787080,139.672680
西大島,35.689345,139.826320
西巣鴨,35.743415,139.728725
西新宿,35.694515,139.692560
西新宿五丁目,35.689900,139.684665
西日暮里,35.732080,139.766775
西早稲田,35.707800,139.709150
西船橋,35.707180,139.958770
西荻窪,35.703785,139.599450
西葛西,35.664560,139.859600
西馬込,35.587305,139.706320
西高島平,35.791895,139.645685
要町,35.733215,139.698480
護国寺,35.719180,139.727450
豊島園,35.741610,139.649205
豊洲,35.655155,139.795995
豊洲市場,35.645000,139.787500
赤坂,35.672080,139.736435
赤坂見附,35.676865,139.737385
赤羽岩淵,35.783355,139.722110
赤羽橋,35.654970,139.744195
辰巳,35.645775,139.810330
都庁前,35.690590,139.692625
銀座,35.673235,139.763830
