路線名,駅名,優先度,駅番号,隣接駅番号1,所要時間1,隣接駅番号2,所要時間2,隣接駅番号3,所要時間3
銀座線,渋谷,1,G01,,,,,,
銀座線,表参道,,G02,G01,2,,,,
銀座線,外苑前,,G03,G02,2,,,,
銀座線,青山一丁目,,G04,G03,1,,,,
銀座線,赤坂見附,,G05,G04,2,,,,
銀座線,溜池山王,,G06,G05,2,,,,
銀座線,虎ノ門,,G07,G06,2,,,,
銀座線,新橋,,G08,G07,2,,,,
銀座線,銀座,,G09,G08,2,,,,
銀座線,京橋,,G10,G09,2,,,,
銀座線,日本橋,,G11,G10,1,,,,
銀座線,三越前,,G12,G11,2,,,,
銀座線,神田,,G13,G12,2,,,,
銀座線,末広町,,G14,G13,1,,,,
銀座線,上野広小路,,G15,G14,2,,,,
銀座線,上野,,G16,G15,1,,,,
銀座線,稲荷町,,G17,G16,2,,,,
銀座線,田原町,,G18,G17,2,,,,
銀座線,浅草,1,G19,G18,1,,,,
丸ノ内線,荻窪,1,M01,,,,,,
丸ノ内線,南阿佐ヶ谷,,M02,M01,2,,,,
丸ノ内線,新高円寺,,M03,M02,2,,,,
丸ノ内線,東高円寺,,M04,M03,2,,,,
丸ノ内線,新中野,,M05,M04,2,,,,
丸ノ内線,中野坂上,,M06,M05,2,,,,
丸ノ内線,西新宿,,M07,M06,2,,,,
丸ノ内線,新宿,,M08,M07,2,,,,
丸ノ内線,新宿三丁目,,M09,M08,2,,,,
丸ノ内線,新宿御苑前,,M10,M09,1,,,,
丸ノ内線,四谷三丁目,,M11,M10,2,,,,
丸ノ内線,四ツ谷,,M12,M11,2,,,,
丸ノ内線,赤坂見附,,M13,M12,3,,,,
丸ノ内線,国会議事堂前,,M14,M13,2,,,,
丸ノ内線,霞ヶ関,,M15,M14,2,,,,
丸ノ内線,銀座,,M16,M15,3,,,,
丸ノ内線,東京,,M17,M16,2,,,,
丸ノ内線,大手町,,M18,M17,2,,,,
丸ノ内線,淡路町,,M19,M18,2,,,,
丸ノ内線,御茶ノ水,,M20,M19,1,,,,
丸ノ内線,本郷三丁目,,M21,M20,2,,,,
丸ノ内線,後楽園,,M22,M21,2,,,,
丸ノ内線,茗荷谷,,M23,M22,3,,,,
丸ノ内線,新大塚,,M24,M23,2,,,,
丸ノ内線,池袋,1,M25,M24,3,,,,
丸ノ内線,中野新橋,,m05,M06,2,,,,
丸ノ内線,中野富士見町,,m04,m05,2,,,,
丸ノ内線,方南町,1,m03,m04,2,,,,
日比谷線,中目黒,1,H01,,,,,,
日比谷線,恵比寿,,H02,H01,2,,,,
日比谷線,広尾,,H03,H02,3,,,,
日比谷線,六本木,,H04,H03,3,,,,
日比谷線,神谷町,,H05,H04,4,,,,
日比谷線,霞ヶ関,,H06,H05,2,,,,
日比谷線,日比谷,,H07,H06,2,,,,
日比谷線,銀座,,H08,H07,2,,,,
日比谷線,東銀座,,H09,H08,1,,,,
日比谷線,築地,,H10,H09,2,,,,
日比谷線,八丁堀,,H11,H10,2,,,,
日比谷線,茅場町,,H12,H11,2,,,,
日比谷線,人形町,,H13,H12,2,,,,
日比谷線,小伝馬町,,H14,H13,2,,,,
日比谷線,秋葉原,,H15,H14,2,,,,
日比谷線,仲御徒町,,H16,H15,1,,,,
日比谷線,上野,,H17,H16,2,,,,
日比谷線,入谷,,H18,H17,2,,,,
日比谷線,三ノ輪,,H19,H18,2,,,,
日比谷線,南千住,,H20,H19,2,,,,
日比谷線,北千住,1,H21,H20,3,,,,
東西線,中野,1,T01,,,,,,
東西線,落合,,T02,T01,3,,,,
東西線,高田馬場,,T03,T02,3,,,,
東西線,早稲田,,T04,T03,3,,,,
東西線,神楽坂,,T05,T04,2,,,,
東西線,飯田橋,,T06,T05,2,,,,
東西線,九段下,,T07,T06,2,,,,
東西線,竹橋,,T08,T07,2,,,,
東西線,大手町,,T09,T08,2,,,,
東西線,日本橋,,T10,T09,2,,,,
東西線,茅場町,,T11,T10,1,,,,
東西線,門前仲町,,T12,T11,3,,,,
東西線,木場,,T13,T12,2,,,,
東西線,東陽町,,T14,T13,1,,,,
東西線,南砂町,,T15,T14,3,,,,
東西線,西葛西,,T16,T15,3,,,,
東西線,葛西,,T17,T16,2,,,,
東西線,浦安,,T18,T17,2,,,,
東西線,南行徳,,T19,T18,2,,,,
東西線,行徳,,T20,T19,2,,,,
東西線,妙典,,T21,T20,2,,,,
東西線,原木中山,,T22,T21,3,,,,
東西線,西船橋,1,T23,T22,3,,,,
千代田線,代々木上原,1,C01,,,,,,
千代田線,代々木公園,,C02,C01,2,,,,
千代田線,明治神宮前,,C03,C02,2,,,,
千代田線,表参道,,C04,C03,1,,,,
千代田線,乃木坂,,C05,C04,3,,,,
千代田線,赤坂,,C06,C05,2,,,,
千代田線,国会議事堂前,,C07,C06,2,,,,
千代田線,霞ヶ関,,C08,C07,1,,,,
千代田線,日比谷,,C09,C08,2,,,,
千代田線,二重橋前,,C10,C09,2,,,,
千代田線,大手町,,C11,C10,2,,,,
千代田線,新御茶ノ水,,C12,C11,2,,,,
千代田線,湯島,,C13,C12,2,,,,
千代田線,根津,,C14,C13,2,,,,
千代田線,千駄木,,C15,C14,2,,,,
千代田線,西日暮里,,C16,C15,2,,,,
千代田線,町屋,,C17,C16,2,,,,
千代田線,北千住,,C18,C17,4,,,,
千代田線,綾瀬,,C19,C18,3,,,,
千代田線,北綾瀬,1,C20,C19,4,,,,
有楽町線,和光市,1,Y01,,,,,,
有楽町線,地下鉄成増,,Y02,Y01,3,,,,
有楽町線,地下鉄赤塚,,Y03,Y02,2,,,,
有楽町線,平和台,,Y04,Y03,3,,,,
有楽町線,氷川台,,Y05,Y04,2,,,,
有楽町線,小竹向原,,Y06,Y05,2,,,,
有楽町線,千川,,Y07,Y06,2,,,,
有楽町線,要町,,Y08,Y07,2,,,,
有楽町線,池袋,,Y09,Y08,3,,,,
有楽町線,東池袋,,Y10,Y09,2,,,,
有楽町線,護国寺,,Y11,Y10,2,,,,
有楽町線,江戸川橋,,Y12,Y11,3,,,,
有楽町線,飯田橋,,Y13,Y12,2,,,,
有楽町線,市ヶ谷,,Y14,Y13,3,,,,
有楽町線,麹町,,Y15,Y14,2,,,,
有楽町線,永田町,,Y16,Y15,1,,,,
有楽町線,桜田門,,Y17,Y16,2,,,,
有楽町線,有楽町,,Y18,Y17,2,,,,
有楽町線,銀座一丁目,,Y19,Y18,2,,,,
有楽町線,新富町,,Y20,Y19,1,,,,
有楽町線,月島,,Y21,Y20,3,,,,
有楽町線,豊洲,,Y22,Y21,2,,,,
有楽町線,辰巳,,Y23,Y22,2,,,,
有楽町線,新木場,1,Y24,Y23,3,,,,
副都心線,和光市,1,F01,,,,,,
副都心線,地下鉄成増,,F02,F01,3,,,,
副都心線,地下鉄赤塚,,F03,F02,2,,,,
副都心線,平和台,,F04,F03,3,,,,
副都心線,氷川台,,F05,F04,2,,,,
副都心線,小竹向原,,F06,F05,2,,,,
副都心線,千川,,F07,F06,2,,,,
副都心線,要町,,F08,F07,2,,,,
副都心線,池袋,,F09,F08,2,,,,
副都心線,雑司が谷,,F10,F09,3,,,,
副都心線,西早稲田,,F11,F10,3,,,,
副都心線,東新宿,,F12,F11,2,,,,
副都心線,新宿三丁目,,F13,F12,2,,,,
副都心線,北参道,,F14,F13,3,,,,
副都心線,明治神宮前,,F15,F14,2,,,,
副都心線,渋谷,1,F16,F15,2,,,,
半蔵門線,渋谷,1,Z01,,,,,,
半蔵門線,表参道,,Z02,Z01,2,,,,
半蔵門線,青山一丁目,,Z03,Z02,2,,,,
半蔵門線,永田町,,Z04,Z03,3,,,,
半蔵門線,半蔵門,,Z05,Z04,2,,,,
半蔵門線,九段下,,Z06,Z05,2,,,,
半蔵門線,神保町,,Z07,Z06,1,,,,
半蔵門線,大手町,,Z08,Z07,3,,,,
半蔵門線,三越前,,Z09,Z08,2,,,,
半蔵門線,水天宮前,,Z10,Z09,3,,,,
半蔵門線,清澄白河,,Z11,Z10,3,,,,
半蔵門線,住吉,,Z12,Z11,3,,,,
